CID	CIDint	IDSURVEY	TYPE	FIELD	zHD	zHDERR	z	zERR	HOST_LOGMASS	HOST_LOGMASS_ERR	SNRMAX1	SNRMAX2	SNRMAX3	PKMJD	PKMJDERR	x1	x1ERR	c	cERR	mB	mBERR	x0	x0ERR	COV_x1_c	COV_x1_x0	COV_c_x0	NDOF	FITCHI2	FITPROB	RA	DECL	TGAPMAX	MU	MUERR	MUERR_NOSIGMB	MURES	MUPULL	sbar	cbar	ERRCODE
2000cn	2000	62	0	NULL	0.02346753515303135	0.00001	0.02348	0.00001	11.147	3.261	98.7031	72.3827	63.8655	51707.816	0.071	-2.56446	0.1592	0.0874251	0.0287607	16.3403929442	0.0455997	0.00536812709158	0.000236118	0.000287096	-4.04187e-6	-5.3771e-6	32	25.4766	0.7863	269.425385	27.82572	27.82572	35.0076	0.063	0.063	-0.042	-0.67	-2.526	0.072	0
2006ac	2006	64	0	NULL	0.02385568432509899	0.00001	0.0233	0.00001	10.981	0.096	71.4254	66.6603	58.8265	53781.848	0.088	-1.03173	0.0689991	0.0521779	0.0263518	15.954652216	0.0307121	0.00765853080724	0.000223969	-0.0000393114	-1.38756e-6	-5.28629e-6	49	69.3327	0.0364543	190.437057	35.068871	35.068871	34.9456	0.0567	0.0567	-0.087	-1.536	-1.005	0.014	0
2006sr	2006	64	0	NULL	0.023879213258624077	0.00001	0.02327	0.00001	10.779	0.022	62.5141	52.6277	47.6266	54092.832	0.126	-1.42787	0.1185	0.007305	0.0319816	15.9337099842	0.0635205	0.00780766957863	0.00047652	0.000108664	-1.20448e-6	-0.0000118448	34	38.0394	0.3327	0.89593	23.19602	23.19602	35.0083	0.0651	0.0651	-0.022	-0.331	-1.418	-0.001	0
1998eg	1998	62	0	NULL	0.0239144004881382	0.00001	0.0234	0.00001	11.117	0.02	98.7044	63.866	57.1457	51111.25	0.01	-0.499256	0.2823	0.00315026	0.0349562	15.9056983226	0.0798044	0.00801143470014	0.000618458	0.000262932	1.32321e-6	-0.0000169351	8	4.7169	0.8583	339.873993	8.60426	8.60426	35.1232	0.0763	0.0763	0.081	1.062	-0.639	0.023	0
2007	2007	64	0	NULL	0.024011123925447464	0.00001	0.0242	0.00001	10.302	0.123	100	76.9289	58.8281	54124.004	0.046	0.5361	0.0424548	-0.0342581	0.0258084	15.674371856799999	0.0295838	0.00991440429693	0.00027547	-0.000135593	7.79053e-8	-6.0716e-6	65	66.2527	0.4335	195.812744	50.618759	50.618759	35.1528	0.0578	0.0578	0.036	0.628	0.529	-0.019	0
2009D	2009	65	1	NULL	0.024192582815885544	0.00001	0.02505	0.00001	10.568	3.877	56.1798	52.6315	49.7513	54841.938	0.314	0.4618	0.119	-0.0454479	0.029972	15.4972137677	0.0475624	0.01167137868	0.000525068	-0.000140257	2.68225e-6	-0.000012689	43	35.1893	0.8259	58.59507	-18.818178	-18.818178	34.9999	0.0635	0.0635	-0.193	-3.039	0.566	-0.124	0
2000bh	2000	50	0	NULL	0.0242	0.00001	0.0242	0.00001	9.579	4.774	108.5762	108.5736	90.4755	51636.809	0.282	-0.117336	0.0711034	0.0164907	0.0275857	15.6734434661	0.0441512	0.00938890291459	0.000395613	-0.000502072	-1.18659e-6	-8.16042e-6	23	25.4043	0.3841	185.312347	-22.002331	17.7311	34.9631	0.0643	0.0643	-0.153	-2.387	-0.027	-0.039	0
2000ca	2000	50	0	NULL	0.02453	0.00001	0.02362	0.00001	10.277	4.204	98.7045	90.4813	90.4801	51666.656	0.128	0.5164	0.0713639	-0.0937613	0.0279663	15.317302522299999	0.0500135	0.0137739974272	0.000637831	-0.000300427	3.91909e-6	-0.0000136273	35	56.5435	0.0159099	203.842224	-34.164322	15.5622	34.9775	0.0605	0.0605	-0.085	-1.412	0.548	-0.127	0
1993H	1993	50	0	NULL	0.0248	0.00001	0.0248	0.00001	10.783	3.608	36.1924	36.1923	36.1917	49067.613	0.255	-2.05017	0.0591228	0.0828289	0.0296311	16.447921973	0.0499562	0.00486213121059	0.000235077	-0.000370002	6.42151e-7	-5.19095e-6	51	78.0478	0.0111913	208.209335	-30.712469	7.0746	35.2013	0.066	0.066	0.031	0.465	-2.06	0.094	0
2002bf	2002	50	0	NULL	0.024813801050186157	0.00001	0.0242	0.00001	10.736	0.032	60.3184	37.4394	31.9333	52339.211	0.346	-0.32004	0.1313	0.1589	0.0317183	16.1276277185	0.0475096	0.00653025028396	0.000299733	0.000524362	-0.000014035	-7.59791e-6	32	43.0719	0.1127	153.919144	55.670471	8.6882	34.8875	0.0697	0.0697	-0.229	-3.287	-0.172	0.074	0
2008bf	2008	64	0	NULL	0.02487759105861187	0.00001	0.0253	0.00001	11.146	0.496	58.8282	47.6202	47.6182	54555.059	0.096	0.3138	0.0717166	-0.0200002	0.0264744	15.509730007	0.0348089	0.0115378479475	0.000380508	-0.0000109459	-2.48224e-6	-9.31268e-7	46	61.9094	0.0711759	181.011993	20.245081	20.245081	34.9128	0.0875	0.0875	-0.302	-3.453	0.353	-0.103	0
1994M	1994	61	0	NULL	0.024900777265429497	0.00001	0.02308	0.00001	11.348	0.016	54.2883	54.2861	54.286	49475.621	0.264	-1.42707	0.090156	0.0416701	0.0286304	16.054461558	0.0364807	0.00698580958655	0.000242804	-0.0000808155	8.11955e-7	-5.37419e-6	36	54.8412	0.0296348	187.782288	0.60278	0.60278	35.0227	0.0657	0.0657	0.011	0.166	-1.43	0.046	0
2002he	2002	63	0	NULL	0.025239121168851852	0.00001	0.0247	0.00001	10.29	4.101	50	47.6087	47.6084	52586.211	0.117	-1.83208	0.1878	-0.0345757	0.0339764	16.0328484351	0.0505052	0.00712643369179	0.00034315	0.00238439	-0.0000377631	-9.6663e-6	22	13.3054	0.9243	124.995018	62.82048	62.82048	35.1807	0.0702	0.0702	0.019	0.27	-1.844	-0.028	0
2003it	2003	63	0	NULL	0.02524450607597828	0.00001	0.02401	0.00001	11.261	0.024	47.616	41.6588	32.2571	52935.242	0.35	-1.60303	0.1668	0.0421561	0.0328817	16.1689550321	0.0529139	0.00628641814627	0.000319548	0.000106753	-7.33834e-6	-8.10906e-6	8	15.1096	0.05705	1.45218	27.452391	27.452391	35.1111	0.0746	0.0746	0.012	0.161	-1.612	0.046	0
2007cq	2007	64	0	NULL	0.025469083338975906	0.00001	0.02633	0.00001	10.093	0.148	76.9429	71.4317	58.8306	54281.008	0.074	-0.696324	0.1215	-0.0403715	0.0302369	15.5945808714	0.0685518	0.0106699289984	0.000700858	0.0000676404	-1.71091e-6	-0.0000176548	33	53.1993	0.0191234	333.668427	5.08016	5.08016	34.9194	0.0549	0.0549	-0.384	-6.989	-0.437	-0.172	0
2006bb	2006	64	0	NULL	0.025775371119379997	0.00001	0.02471	0.00001	10.945	0.438	62.5154	58.8189	52.6179	53813.906	0.612	-2.23455	0.2061	-0.0374081	0.0552951	16.113961724800003	0.0894427	0.00661321451723	0.000574366	0.00513017	-0.0000539542	-0.0000284456	15	9.3061	0.9003	128.379562	41.51783	41.51783	35.2143	0.0904	0.0904	0.052	0.571	-2.228	-0.012	0
2002de	2002	63	0	NULL	0.02601063996553421	0.00001	0.02784	0.00001	10.66	0.125	83.3274	76.9185	62.5041	52434.008	0.173	0.4576	0.3452	0.1136	0.0269689	16.472631954500002	0.0316907	0.00475294609163	0.000143832	0.00250072	-0.0000150254	-3.39326e-6	13	9.4841	0.7988	244.126389	35.708359	35.708359	35.4817	0.0663	0.0663	0.055	0.83	0.306	0.127	0
1992P	1992	50	0	NULL	0.0263	0.00001	0.0263	0.00001	10.475	0.399	36.1915	35.0253	-99	48719.777	0.379	0.146	0.2744	-0.0820243	0.0425169	15.8129427488	0.0356604	0.00872647759912	0.000287892	-0.00092588	1.08971e-6	-9.49095e-6	12	16.4137	0.2275	190.704086	10.35077	29.9924	35.3848	0.1165	0.1165	0.084	0.723	0.065	-0.054	0
2005mc	2005	64	0	NULL	0.026335274800658226	0.00001	0.02515	0.00001	10.891	0.474	71.4134	66.6479	62.4929	53733.84	0.161	-2.67613	0.1234	0.2362	0.0305096	17.0634383406	0.0416488	0.00275807686317	0.000111321	-0.0000774546	-8.24968e-7	-2.64759e-6	30	52.257	0.00984345	126.776154	21.64628	21.64628	35.2538	0.0697	0.0697	0.051	0.73	-2.704	0.256	64
1999X	1999	62	0	NULL	0.026509160175919533	0.00001	0.02504	0.00001	10.329	0.047	35.0237	28.5725	26.4811	51208.23	0.079	-0.539519	0.5323	0.0184789	0.0507094	16.073410641800002	0.1088	0.00686496330614	0.000734356	0.0119014	-0.00014634	-0.0000181809	11	3.6761	0.9886	133.632263	36.51474	36.51474	35.2378	0.1486	0.1486	0.046	0.308	-0.592	0.025	0
2000bk	2000	50	0	NULL	0.0266	0.00001	0.0266	0.00001	10.522	3.905	361.9107	217.1508	155.1042	51647.652	0.266	-1.98485	0.112	0.093215	0.0322471	16.709099538700002	0.0463929	0.00382246799852	0.000171152	0.000104355	-8.3789e-6	-4.1962e-6	20	25.4866	0.2267	188.47374	-7.38124	8.7668	35.4395	0.0761	0.0761	0.114	1.495	-2.059	0.132	0
2005ms	2005	64	0	NULL	0.02663096785545349	0.00001	0.0259	0.00001	10.635	0.138	83.3475	76.9347	76.9256	53744.191	0.065	0.4133	0.0800176	-0.0289179	0.0268724	15.933689895699999	0.0357405	0.00780802838689	0.000264132	-0.0000413322	-2.42392e-6	-5.80363e-6	26	30.9504	0.2301	132.309677	36.129639	36.129639	35.3783	0.0595	0.0595	0.112	1.876	0.371	0.016	0
2005na	2005	64	0	NULL	0.027069352567195892	0.00001	0.02629	0.00001	11.551	2.938	76.9375	71.4147	58.8155	53741.461	0.453	-0.417606	0.1068	-0.0314872	0.0321055	15.849246751399999	0.0605341	0.00843895590486	0.000488187	-0.000438062	9.20468e-6	-0.0000123631	27	43.0958	0.03407	105.402748	14.13299	14.13299	35.1856	0.0653	0.0653	-0.114	-1.749	-0.37	-0.077	0
2007co	2007	64	0	NULL	0.027470868080854416	0.00001	0.02658	0.00001	10.58	3.565	83.3573	76.9338	66.6539	54265.148	0.061	-0.223007	0.0646051	0.0764583	0.0312621	16.2662638098	0.0715239	0.00574786143744	0.000401312	-6.73969e-6	-1.68518e-8	-9.92256e-6	74	85.7565	0.1858	275.765015	29.897051	29.897051	35.2952	0.0601	0.0601	-0.029	-0.481	-0.218	0.067	0
2007su	2007	65	1	NULL	0.02749389410018921	0.00001	0.02784	0.00001	9.084	0.081	55.8659	49.5049	26.738	54460.504	0.649	0.3129	0.3435	0.1885	0.0362667	16.623180946599998	0.0691487	0.00391488874854	0.000263655	0.00191589	1.00326e-6	-7.7925e-6	10	3.719	0.9774	334.787018	13.177747	13.177747	35.4398	0.0718	0.0718	0.013	0.183	0.289	0.192	0
1996C	1996	61	0	NULL	0.027558131143450737	0.00001	0.027	0.00001	10.114	0.349	49.3519	31.0216	24.676	50129.602	0.348	0.6502	0.13	0.0468935	0.0290526	16.3992212984	0.0344452	0.0050851968793	0.000167074	-0.000595281	3.77804e-6	-3.95303e-6	36	42.3888	0.2498	207.751587	49.341251	49.341251	35.6421	0.0691	0.0691	0.283	4.1	0.449	0.157	0
2005eq	2005	64	0	NULL	0.02762594260275364	0.00001	0.0284	0.00001	10.918	0.499	76.9303	71.433	66.6766	53654.777	0.091	1.2704	0.0782588	0.010671	0.0286346	16.0896517195	0.0514953	0.00676304203497	0.000333507	-0.000380833	1.02693e-6	-7.64719e-6	66	46.0239	0.9765	47.20565	-7.0334	-7.0334	35.5316	0.0595	0.0595	0.061	1.022	1.239	0.034	0
